fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,CELSIA,CELSIA S.A E.S.P,2800,-0.0088,91921075,32821,continua,SI,1153.71,0.004755062
Jan 04 2016,CELSIA,CELSIA S.A E.S.P,2800,0.0000 ,61653350,22016,continua,SI,1129.71,-0.020802455
Jan 05 2016,CELSIA,CELSIA S.A E.S.P,3000,0.0714 ,1033851505,350713,continua,SI,1142.4,0.011232971
Jan 06 2016,CELSIA,CELSIA S.A E.S.P,2960,-0.0133,460301775,153881,continua,SI,1129.32,-0.01144958
Jan 07 2016,CELSIA,CELSIA S.A E.S.P,3000,0.0135 ,2525314680,864147,continua,SI,1105.73,-0.020888676
Jan 08 2016,CELSIA,CELSIA S.A E.S.P,2970,-0.0100,27256200,9160,continua,SI,1098.32,-0.006701455
Jan 12 2016,CELSIA,CELSIA S.A E.S.P,2860,-0.0370,484841250,167611,continua,SI,1079.28,-0.017335567
Jan 13 2016,CELSIA,CELSIA S.A E.S.P,2990,0.0455 ,1149926985,383920,continua,SI,1096.68,0.016121859
Jan 14 2016,CELSIA,CELSIA S.A E.S.P,3035,0.0151 ,1045888195,346001,continua,SI,1128.65,0.029151621
Jan 15 2016,CELSIA,CELSIA S.A E.S.P,3005,-0.0099,505122365,167511,continua,SI,1103.26,-0.022495902
Jan 18 2016,CELSIA,CELSIA S.A E.S.P,3005,0.0000 ,640710290,213157,continua,SI,1078.69,-0.022270362
Jan 19 2016,CELSIA,CELSIA S.A E.S.P,3005,0.0000 ,24584650,8122,continua,SI,1100.3,0.020033559
Jan 20 2016,CELSIA,CELSIA S.A E.S.P,3030,0.0083 ,1270188550,422513,continua,SI,1109.33,0.008206853
Jan 21 2016,CELSIA,CELSIA S.A E.S.P,3055,0.0083 ,273396415,90073,continua,SI,1124.79,0.01393634
Jan 22 2016,CELSIA,CELSIA S.A E.S.P,3035,-0.0065,1354957345,441725,continua,SI,1151.62,0.023853342
Jan 25 2016,CELSIA,CELSIA S.A E.S.P,2970,-0.0214,1259822640,423446,continua,SI,1139.32,-0.010680606
Jan 26 2016,CELSIA,CELSIA S.A E.S.P,3070,0.0337 ,282237675,93010,continua,SI,1146.36,0.006179124
Jan 27 2016,CELSIA,CELSIA S.A E.S.P,3075,0.0016 ,140985760,45946,continua,SI,1153.46,0.006193517
Jan 28 2016,CELSIA,CELSIA S.A E.S.P,3090,0.0049 ,661825610,214039,continua,SI,1165.38,0.010334125
Jan 29 2016,CELSIA,CELSIA S.A E.S.P,3055,-0.0113,485355630,158354,continua,SI,1175.09,0.008332046
Feb 01 2016,CELSIA,CELSIA S.A E.S.P,3065,0.0033 ,168572760,55000,continua,SI,1180.72,0.004791122
Feb 02 2016,CELSIA,CELSIA S.A E.S.P,3030,-0.0114,210348530,69548,continua,SI,1165.77,-0.012661766
Feb 03 2016,CELSIA,CELSIA S.A E.S.P,3030,0.0000 ,327052150,108294,continua,SI,1180.66,0.012772674
Feb 04 2016,CELSIA,CELSIA S.A E.S.P,3165,0.0446 ,2570920965,834725,continua,SI,1188.73,0.00683516
Feb 05 2016,CELSIA,CELSIA S.A E.S.P,3300,0.0427 ,618416275,193619,continua,SI,1195.11,0.005367072
Feb 08 2016,CELSIA,CELSIA S.A E.S.P,3250,-0.0152,510833910,156791,continua,SI,1192.98,-0.001782263
Feb 09 2016,CELSIA,CELSIA S.A E.S.P,3335,0.0262 ,1414114225,431518,continua,SI,1196.9,0.003285889
Feb 10 2016,CELSIA,CELSIA S.A E.S.P,3390,0.0165 ,1395231865,410612,continua,SI,1200.42,0.002940931
Feb 11 2016,CELSIA,CELSIA S.A E.S.P,3395,0.0015 ,762562865,225075,continua,SI,1198.51,-0.00159111
Feb 12 2016,CELSIA,CELSIA S.A E.S.P,3435,0.0118 ,604629225,176403,continua,SI,1209.03,0.008777565
Feb 15 2016,CELSIA,CELSIA S.A E.S.P,3450,0.0044 ,57799700,16754,continua,SI,1209.88,0.000703043
Feb 16 2016,CELSIA,CELSIA S.A E.S.P,3400,-0.0145,4977435485,1434057,continua,SI,1199.98,-0.00818263
Feb 17 2016,CELSIA,CELSIA S.A E.S.P,3465,0.0191 ,1144355320,333216,continua,SI,1233.34,0.027800463
Feb 18 2016,CELSIA,CELSIA S.A E.S.P,3465,0.0000 ,591097150,168872,continua,SI,1235.89,0.002067556
Feb 19 2016,CELSIA,CELSIA S.A E.S.P,3495,0.0087 ,1998632470,577152,continua,SI,1234.93,-0.000776768
Feb 22 2016,CELSIA,CELSIA S.A E.S.P,3455,-0.0114,703491025,201889,continua,SI,1236.37,0.001166058
Feb 23 2016,CELSIA,CELSIA S.A E.S.P,3455,0.0000 ,351869460,101898,continua,SI,1229.65,-0.005435266
Feb 24 2016,CELSIA,CELSIA S.A E.S.P,3480,0.0072 ,2264891320,662833,continua,SI,1228.18,-0.001195462
Feb 25 2016,CELSIA,CELSIA S.A E.S.P,3650,0.0489 ,1344927295,374212,continua,SI,1240.13,0.009729844
Feb 26 2016,CELSIA,CELSIA S.A E.S.P,3700,0.0137 ,7628114160,2022635,continua,SI,1246.68,0.005281704
Feb 29 2016,CELSIA,CELSIA S.A E.S.P,3680,-0.0054,3402146930,921900,continua,SI,1244.17,-0.002013347
Mar 01 2016,CELSIA,CELSIA S.A E.S.P,3570,-0.0299,5607220295,1529612,continua,SI,1255.54,0.009138623
Mar 02 2016,CELSIA,CELSIA S.A E.S.P,3680,0.0308 ,2368268540,660617,continua,SI,1276.63,0.016797553
Mar 03 2016,CELSIA,CELSIA S.A E.S.P,3600,-0.0217,1941640005,540363,continua,SI,1295.43,0.014726272
Mar 04 2016,CELSIA,CELSIA S.A E.S.P,3600,0.0000 ,589042335,163889,continua,SI,1294.86,-0.000440008
Mar 07 2016,CELSIA,CELSIA S.A E.S.P,3625,0.0069 ,630533505,174508,continua,SI,1307.17,0.009506819
Mar 08 2016,CELSIA,CELSIA S.A E.S.P,3570,-0.0152,484319045,134723,continua,SI,1294.63,-0.009593243
Mar 09 2016,CELSIA,CELSIA S.A E.S.P,3520,-0.0140,446125310,125261,continua,SI,1296.27,0.001266771
Mar 10 2016,CELSIA,CELSIA S.A E.S.P,3495,-0.0071,1311109810,375372,continua,SI,1299.45,0.002453193
Mar 11 2016,CELSIA,CELSIA S.A E.S.P,3535,0.0114 ,654119760,186608,continua,SI,1302.71,0.002508754
Mar 14 2016,CELSIA,CELSIA S.A E.S.P,3615,0.0226 ,640866775,179193,continua,SI,1298.48,-0.003247077
Mar 15 2016,CELSIA,CELSIA S.A E.S.P,3670,0.0152 ,893867060,246269,continua,SI,1285.34,-0.010119524
Mar 16 2016,CELSIA,CELSIA S.A E.S.P,3590,-0.0218,854092200,238173,continua,SI,1284.4,-0.000731324
Mar 17 2016,CELSIA,CELSIA S.A E.S.P,3540,-0.0139,1421126530,397379,continua,SI,1295.89,0.008945811
Mar 18 2016,CELSIA,CELSIA S.A E.S.P,3510,-0.0085,21780013020,6227089,continua,SI,1309.81,0.010741652
Mar 22 2016,CELSIA,CELSIA S.A E.S.P,3650,0.0399 ,997549970,276370,continua,SI,1316.92,0.005428268
Mar 23 2016,CELSIA,CELSIA S.A E.S.P,3650,0.0000 ,1566551555,431525,continua,SI,1321.05,0.003136105
Mar 28 2016,CELSIA,CELSIA S.A E.S.P,3640,-0.0027,438668415,120254,continua,SI,1305.41,-0.011839067
Mar 29 2016,CELSIA,CELSIA S.A E.S.P,3600,-0.0110,592392525,163696,continua,SI,1299.65,-0.004412407
Mar 30 2016,CELSIA,CELSIA S.A E.S.P,3830,0.0639 ,4026960725,1080736,continua,SI,1319.77,0.015481091
Mar 31 2016,CELSIA,CELSIA S.A E.S.P,3890,0.0157 ,2749273740,709513,continua,SI,1336.27,0.012502178
Apr 01 2016,CELSIA,CELSIA S.A E.S.P,3870,-0.0051,1659553825,426729,continua,SI,1333.63,-0.001975649
Apr 04 2016,CELSIA,CELSIA S.A E.S.P,3900,0.0078 ,1193976875,306951,continua,SI,1337.58,0.002961841
Apr 05 2016,CELSIA,CELSIA S.A E.S.P,3900,0.0000 ,1031289970,265474,continua,SI,1313.19,-0.018234423
Apr 06 2016,CELSIA,CELSIA S.A E.S.P,3940,0.0103 ,3252425360,832108,continua,SI,1321.5,0.006328102
Apr 07 2016,CELSIA,CELSIA S.A E.S.P,3920,-0.0051,1349545110,344811,continua,SI,1316.11,-0.004078698
Apr 08 2016,CELSIA,CELSIA S.A E.S.P,3920,0.0000 ,1944119570,493792,continua,SI,1326.57,0.007947664
Apr 11 2016,CELSIA,CELSIA S.A E.S.P,3890,-0.0077,5578978755,1434684,continua,SI,1336.37,0.007387473
Apr 12 2016,CELSIA,CELSIA S.A E.S.P,3870,-0.0051,1462792725,381137,continua,SI,1364.13,0.02077269
Apr 13 2016,CELSIA,CELSIA S.A E.S.P,3915,0.0116 ,2545758055,651358,continua,SI,1370.62,0.004757611
Apr 14 2016,CELSIA,CELSIA S.A E.S.P,4000,0.0217 ,4002444995,1002965,continua,SI,1364.97,-0.004122222
Apr 15 2016,CELSIA,CELSIA S.A E.S.P,3960,-0.0100,575659485,145087,continua,SI,1355.2,-0.007157666
Apr 18 2016,CELSIA,CELSIA S.A E.S.P,3985,0.0063 ,943565715,236905,continua,SI,1354.76,-0.000324675
Apr 19 2016,CELSIA,CELSIA S.A E.S.P,4040,0.0138 ,1687674295,419968,continua,SI,1362.84,0.005964156
Apr 20 2016,CELSIA,CELSIA S.A E.S.P,4110,0.0173 ,1425781960,347660,continua,SI,1376.61,0.010103901
Apr 21 2016,CELSIA,CELSIA S.A E.S.P,4055,-0.0134,1385367130,338434,continua,SI,1375.95,-0.000479439
Apr 22 2016,CELSIA,CELSIA S.A E.S.P,3975,-0.0197,3099327245,773793,continua,SI,1374.41,-0.001119227
Apr 25 2016,CELSIA,CELSIA S.A E.S.P,3900,-0.0189,2052437355,525673,continua,SI,1359.25,-0.011030187
Apr 26 2016,CELSIA,CELSIA S.A E.S.P,4005,0.0269 ,668069760,167587,continua,SI,1365.2,0.004377414
Apr 27 2016,CELSIA,CELSIA S.A E.S.P,4000,-0.0012,1733655590,431733,continua,SI,1361.98,-0.002358629
Apr 28 2016,CELSIA,CELSIA S.A E.S.P,3960,-0.0100,3913261960,982934,continua,SI,1362.02,2.9369E-05
Apr 29 2016,CELSIA,CELSIA S.A E.S.P,3850,-0.0278,1042803300,268074,continua,SI,1342.42,-0.014390391
May 02 2016,CELSIA,CELSIA S.A E.S.P,4000,0.0390 ,202908570,51587,continua,SI,1342.5,5.95939E-05
May 03 2016,CELSIA,CELSIA S.A E.S.P,3850,-0.0375,1440377400,366740,continua,SI,1320.18,-0.016625698
May 04 2016,CELSIA,CELSIA S.A E.S.P,3800,-0.0130,4974153780,1311332,continua,SI,1311.83,-0.006324895
May 05 2016,CELSIA,CELSIA S.A E.S.P,3735,-0.0171,568293485,151165,continua,SI,1291.14,-0.015771861
May 06 2016,CELSIA,CELSIA S.A E.S.P,3825,0.0241 ,1346770700,351772,continua,SI,1293.03,0.001463823
May 10 2016,CELSIA,CELSIA S.A E.S.P,3925,0.0261 ,6719353585,1731332,continua,SI,1328.6,0.027509029
May 11 2016,CELSIA,CELSIA S.A E.S.P,3915,-0.0025,19057153960,4816460,continua,SI,1336.35,0.005833208
May 12 2016,CELSIA,CELSIA S.A E.S.P,3975,0.0153 ,3819161545,962846,continua,SI,1351.39,0.011254537
May 13 2016,CELSIA,CELSIA S.A E.S.P,3945,-0.0075,2793935445,706611,continua,SI,1350.36,-0.000762178
May 16 2016,CELSIA,CELSIA S.A E.S.P,3980,0.0089 ,1150240275,289959,continua,SI,1357.57,0.005339317
May 17 2016,CELSIA,CELSIA S.A E.S.P,3920,-0.0151,1450517550,366990,continua,SI,1343.88,-0.010084195
May 18 2016,CELSIA,CELSIA S.A E.S.P,3880,-0.0102,903003785,233429,continua,SI,1327.74,-0.012010001
May 19 2016,CELSIA,CELSIA S.A E.S.P,3820,-0.0155,498886450,130305,continua,SI,1323.21,-0.003411813
May 20 2016,CELSIA,CELSIA S.A E.S.P,3900,0.0209 ,268227710,69475,continua,SI,1322.44,-0.000581918
May 23 2016,CELSIA,CELSIA S.A E.S.P,3900,0.0000 ,268032270,69057,continua,SI,1325.36,0.00220804
May 24 2016,CELSIA,CELSIA S.A E.S.P,3870,-0.0077,989242590,254563,continua,SI,1319.44,-0.004466711
May 25 2016,CELSIA,CELSIA S.A E.S.P,3880,0.0026 ,5535728155,1447797,continua,SI,1306.65,-0.009693506
May 26 2016,CELSIA,CELSIA S.A E.S.P,3900,0.0052 ,1481190210,381062,continua,SI,1302.13,-0.003459228
May 27 2016,CELSIA,CELSIA S.A E.S.P,3895,-0.0013,417101470,107696,continua,SI,1302.36,0.000176634
May 31 2016,CELSIA,CELSIA S.A E.S.P,3850,-0.0116,1208762275,310378,continua,SI,1292.51,-0.007563193
Jun 01 2016,CELSIA,CELSIA S.A E.S.P,3865,0.0039 ,61615965,15867,continua,SI,1301.18,0.006707878
Jun 02 2016,CELSIA,CELSIA S.A E.S.P,3850,-0.0039,359308880,93298,continua,SI,1303,0.00139873
Jun 03 2016,CELSIA,CELSIA S.A E.S.P,3820,-0.0078,26152700,6830,continua,SI,1307.83,0.00370683
Jun 07 2016,CELSIA,CELSIA S.A E.S.P,3875,0.0144 ,251143315,64812,continua,SI,1315.86,0.006139942
Jun 08 2016,CELSIA,CELSIA S.A E.S.P,3840,-0.0090,453096480,116615,continua,SI,1333.46,0.013375283
Jun 09 2016,CELSIA,CELSIA S.A E.S.P,3925,0.0221 ,2122237915,549143,continua,SI,1333.48,1.49986E-05
Jun 10 2016,CELSIA,CELSIA S.A E.S.P,3920,-0.0013,362250915,92515,continua,SI,1320.48,-0.009748928
Jun 13 2016,CELSIA,CELSIA S.A E.S.P,3990,0.0179 ,516115615,131242,continua,SI,1315.23,-0.003975827
Jun 14 2016,CELSIA,CELSIA S.A E.S.P,3925,-0.0163,2013284860,515552,continua,SI,1303.33,-0.009047847
Jun 15 2016,CELSIA,CELSIA S.A E.S.P,3905,-0.0051,5268646180,1353721,continua,SI,1303.83,0.000383633
Jun 16 2016,CELSIA,CELSIA S.A E.S.P,3905,0.0000 ,235065850,60686,continua,SI,1307.77,0.003021866
